ID,Nom/Descripció,Pool (acció font),Conseqüències,Tipus,Ús únic,Condicionants d'aparició,Condicionants de bloqueig
ev_intercanvi_eines,"Un grup veí demana eines a canvi de provisions.",pool_artesania,"+1🌾, +1🪨",Efecte simple,No,Cap,Cap
ev_desc_agulla,"Mentre talles os, un fragment fi queda perfecte com una agulla.",pool_artesania,"Opció A: -2🌾 → desbloqueja Agulla d'Os | Opció B: +1🌾",Descobriment (bt_agulla_os),Sí,"ut_vestimenta descobert, Intel·lecte ≥ 0.20, Impuls ≤ 0.20",Habilitat ja apresa
ev_desc_buri,"Un artesà d'un grup veí grava línies en os amb una eina punxeguda molt fina.",pool_artesania,"Opció A: -2🌾 → desbloqueja Burí i Gravat | Opció B: +1🌾",Descobriment (bt_buri),Sí,"ut_eines descobert, Intel·lecte ≥ 0.25, Impuls ≤ 0.20",Habilitat ja apresa
ev_fissura_pedra,"El cop ha obert una fissura. La pedra cruix sota els dits.",pool_artesania,"A: -4🪨 | B: +1🪨 | C: -1🌾 -1🪨",Elecció (3 opcions),No,Cap,Cap
ev_aprenent_observa,"Un infant observa en silenci com treballes la pedra.",pool_artesania,"A: -1🪨 | B: +1🪨 | C: +1❤️ -1🪨",Elecció (3 opcions),No,Cap,Cap
ev_fulla_prestada,"El company ha perdut la seva fulla dins la bèstia. M'allarga la mà.",pool_artesania,"A: +2🌾 -2🪨 | B: +1🌾 -1🪨 | C: -1🌾 +1🪨",Elecció (3 opcions),No,Cap,Cap
ev_tecnica_subtil,"He notat un detall en l'ús del burí. Un artesà proper ho fa igual.",pool_artesania,"A: +1❤️ +1🪨 | B: 0 | C: +2❤️ +1🪨",Elecció (3 opcions),No,"Habilitat Burí i Gravat apresa",NO requereix la habilitat (uses blocked_if not_has_skill — apareix SENSE la habilitat)
pe_malaltia,"Una febre s'escampa pel campament.",pool_ritual,"A (amb Guariment Plantes): -1🌾 -3❤️ | B (sense): -3🌾 -15❤️",Elecció + requisit habilitat,No,Cap,Cap
ev_visio_profunda,"Una visió durant el ritual guia el grup cap a recursos amagats.",pool_ritual,+2 ❤️,Efecte simple,No,Cap,Cap
ev_ritual_cohesio,"El ritual reforça la cohesió del grup.",pool_ritual,+1 🏛️,Efecte simple,No,Cap,Cap
ev_espiritocontent,"Els esperits estan contents. El grup se sent protegit.",pool_ritual,+5 ❤️,Efecte simple,No,Cap,Cap
ev_desc_herbes,"Durant el ritual, un vell crema certes herbes que mai no has vist.",pool_ritual,"Opció A: -2🌾 → desbloqueja Guariment amb Plantes | Opció B: +1🌾",Descobriment (bt_guariment_plantes),Sí,"ut_foc descobert, Espiritualitat ≥ 0.25, Sociabilitat ≥ 0.20",Habilitat ja apresa
ev_desc_pintura,"Prop d'una paret de roca, el foc projecta ombres que semblen animals.",pool_ritual,"Opció A: -1🌾 → desbloqueja Pintura Rupestre | Opció B: 0",Descobriment (bt_pintura_rupestre),Sí,"ut_art descobert, Espiritualitat ≥ 0.30, Sociabilitat ≥ 0.20",Habilitat ja apresa
ev_desc_calendari,"Notes que la lluna ha tornat al mateix punt que fa molts dies.",pool_ritual,"Opció A: -1🌾 → desbloqueja Calendari Natural | Opció B: 0",Descobriment (bt_calendari_natural),Sí,"ut_ceramica descobert, Espiritualitat ≥ 0.20, Sociabilitat ≥ 0.10",Habilitat ja apresa
ev_dol_enterrament,"Un membre del clan ha mort. Hi ha ocre vermell al sac i un cargol marí.",pool_ritual,"A: +2❤️ -2🪨 | B: 0 | C: -1❤️",Elecció (3 opcions),No,Cap,Cap
ev_figura_venus,"Tens un tros d'ivori. La forma surt sola — corbes, volum, pes.",pool_ritual,"A: +1❤️ -1🪨 | B: +2❤️ -1🪨 | C: 0",Elecció (3 opcions),No,Cap,Cap
ev_transicio_xaman,"Fa dies que veig coses. Formes a les pedres, veus que no venen de cap boca.",pool_ritual,"A: -2🌾 -1❤️ | B: -1🌾",Elecció (2 opcions),No,Cap,"Impuls > 0.70 (bloqueja l'event per caçadors massa impulsiu)"
ev_planta_amarga,"Un infant crema de febre. Un vell s'acosta amb una rel negra desconeguda.",pool_ritual,"A (amb Guariment): +3❤️ | A (sense): +1 o -2❤️ aleatori | B: -1🌾 +1❤️ | C: +2❤️ -1🪨",Elecció + modificador d'habilitat,No,Cap,Cap
ev_dispute_interna,"Una disputa interna distreu el grup.",pool_social,-1 🏛️,Efecte simple,No,Cap,Cap
ev_aliat_nou,"Un grup veí ofereix col·laboració temporal.",pool_social,+2 🏛️,Efecte simple,No,Cap,Cap
ev_lider_respectat,"El respecte augmenta. El grup treballa millor.",pool_social,+1 🏛️,Efecte simple,No,Cap (apareix en accions socials: Vigilar, Marcar Territori, Intercanviar Eines, Narrar, Ornamantar, Control Territori, Negociar Pastures...),Cap
ev_desc_ornaments,"L'estranger que ha visitat el campament porta closques foradades al coll.",pool_social,"Opció A: -3🌾 → desbloqueja Ornaments | Opció B: +1🌾",Descobriment (bt_ornaments),Sí,"ut_art descobert, Espiritualitat ≥ 0.20 O Sociabilitat ≥ 0.25",Habilitat ja apresa
ev_desc_domini_terra,"Dos clans han esgotado la mateixa zona. Si s'hagués repartit, tots haurien menjat millor.",pool_social,"Opció A: -2🌾 → desbloqueja Domini de la Terra | Opció B: +1🌾",Descobriment (bt_domini_terra),Sí,"ut_ceramica descobert, Impuls ≥ 0.10 O Sociabilitat ≥ 0.10",Habilitat ja apresa
ev_fill_orfe,"Una dona s'acosta amb dos infants. El seu home no ha tornat de la cacera.",pool_social,"A: -2🌾 -1🪨 | B: -1🌾 | C: 0","Elecció (3 opcions, filtre sense menjar mínim)",No,"Food ≥ 3",Food < 3
ev_rancor_ancians,"Dos homes vells del clan s'han encarar a crits per la millor queixalada d'un cérvol.",pool_social,"A: +1🪨 | B: -1🪨 | C: 0",Elecció (3 opcions),No,Cap,Cap
ev_estrany_a_la_vora,"Un home d'un altre clan s'acosta al campament arrossegant els peus.",pool_social,"A: -1🌾 +2🪨 | B: -1🌾 | C: 0 (requereix fills)",Elecció (3 opcions),No,"Health ≥ 3",Health < 3
ev_criatura_dificil,"Un infant del clan fa mesos que hauria d'haver parlat i no ho fa.",pool_social,"Vàries opcions (+fills/-fills): -1 a -2🌾 ±1❤️ ±1🪨",Elecció (5 opcions context-aware),No,Cap,Cap
ev_fill_pregunta,"El fill s'ha assegut al teu costat. 'Per què fem això?', pregunta.",pool_familia,"A: -1🌾 +2❤️ | B: +1🪨 | C: -1🌾 +1🪨",Elecció (3 opcions),No,Cap,Cap
ev_fill_aprenentatge,"El fill ha reproduït una tècnica que li vas ensenyar. Es gira a mirar-te.",pool_familia,"A: +2❤️ | B: +1🪨 | C: +1❤️",Elecció (3 opcions),No,Cap,Cap
ev_fill_rebel,"El fill ha marxat a jugar just quan l'havies posat a aprendre.",pool_familia,"A: +1🌾 -1❤️ | B: -1🌾 +1❤️ | C: 0",Elecció (3 opcions),No,Cap,Cap
ev_fill_malalt,"El fill porta dos dies amb febre. Res sembla que funcioni.",pool_familia,"A (amb Guariment): +4❤️ | A (sense): +1❤️ | B: -2🌾 +2❤️ | C: +1❤️ -1🪨",Elecció + modificador d'habilitat,No,Cap,Cap
ev_llegat_familiar,"Mentre ensenyes el fill, reconeixes un gest de la teva mare.",pool_familia,"+3❤️ +1🏛️",Efecte simple,No,Cap,Cap
